group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,1010,,SH,1,StationName,Station Name,,N,standard,PS3.6
0008,1030,,LO,1,StudyDescription,Study Description,,N,standard,PS3.6
0008,1032,,SQ,1,ProcedureCodeSequence,Procedure Code Sequence,,N,standard,PS3.6
0008,103E,,LO,1,SeriesDescription,Series Description,,N,standard,PS3.6
0008,103F,,SQ,1,SeriesDescriptionCodeSequence,Series Description Code Sequence,,N,standard,PS3.6
0008,1040,,LO,1,InstitutionalDepartmentName,Institutional Department Name,,N,standard,PS3.6
0008,1041,,SQ,1,InstitutionalDepartmentTypeCodeSequence,Institutional Department Type Code Sequence,,N,standard,PS3.6
0008,1048,,PN,1-n,PhysiciansOfRecord,Physician(s) of Record,,N,standard,PS3.6
0008,1049,,SQ,1,PhysiciansOfRecordIdentificationSequence,Physician(s) of Record Identification Sequence,,N,standard,PS3.6
0008,1050,,PN,1-n,PerformingPhysicianName,Performing Physician's Name,,N,standard,PS3.6
0008,1052,,SQ,1,PerformingPhysicianIdentificationSequence,Performing Physician Identification Sequence,,N,standard,PS3.6
0008,1060,,PN,1-n,NameOfPhysiciansReadingStudy,Name of Physician(s) Reading Study,,N,standard,PS3.6
0008,1062,,SQ,1,PhysiciansReadingStudyIdentificationSequence,Physician(s) Reading Study Identification Sequence,,N,standard,PS3.6
0008,1070,,PN,1-n,OperatorsName,Operators' Name,,N,standard,PS3.6
0008,1072,,SQ,1,OperatorIdentificationSequence,Operator Identification Sequence,,N,standard,PS3.6
0008,1080,,LO,1-n,AdmittingDiagnosesDescription,Admitting Diagnoses Description,,N,standard,PS3.6
0008,1084,,SQ,1,AdmittingDiagnosesCodeSequence,Admitting Diagnoses Code Sequence,,N,standard,PS3.6
0008,1088,,LO,1,PyramidDescription,Pyramid Description,,N,standard,PS3.6
0008,1090,,LO,1,ManufacturerModelName,Manufacturer's Model Name,,N,standard,PS3.6
0008,1100,,SQ,1,ReferencedResultsSequence,Referenced Results Sequence,,Y,standard,PS3.6
0008,1110,,SQ,1,ReferencedStudySequence,Referenced Study Sequence,,N,standard,PS3.6
0008,1111,,SQ,1,ReferencedPerformedProcedureStepSequence,Referenced Performed Procedure Step Sequence,,N,standard,PS3.6
0008,1112,,SQ,1,ReferencedInstancesBySOPClassSequence,Referenced Instances by SOP Class Sequence,,N,standard,PS3.6
0008,1115,,SQ,1,ReferencedSeriesSequence,Referenced Series Sequence,,N,standard,PS3.6
0008,1120,,SQ,1,ReferencedPatientSequence,Referenced Patient Sequence,,N,standard,PS3.6
0008,1125,,SQ,1,ReferencedVisitSequence,Referenced Visit Sequence,,N,standard,PS3.6
0008,1130,,SQ,1,ReferencedOverlaySequence,Referenced Overlay Sequence,,Y,standard,PS3.6
0008,1134,,SQ,1,ReferencedStereometricInstanceSequence,Referenced Stereometric Instance Sequence,,N,standard,PS3.6
0008,113A,,SQ,1,ReferencedWaveformSequence,Referenced Waveform Sequence,,N,standard,PS3.6
0008,1140,,SQ,1,ReferencedImageSequence,Referenced Image Sequence,,N,standard,PS3.6
0008,1145,,SQ,1,ReferencedCurveSequence,Referenced Curve Sequence,,Y,standard,PS3.6
0008,114A,,SQ,1,ReferencedInstanceSequence,Referenced Instance Sequence,,N,standard,PS3.6
0008,114B,,SQ,1,ReferencedRealWorldValueMappingInstanceSequence,Referenced Real World Value Mapping Instance Sequence,,N,standard,PS3.6
0008,1150,,UI,1,ReferencedSOPClassUID,Referenced SOP Class UID,,N,standard,PS3.6
0008,1155,,UI,1,ReferencedSOPInstanceUID,Referenced SOP Instance UID,,N,standard,PS3.6
0008,1156,,SQ,1,DefinitionSourceSequence,Definition Source Sequence,,N,standard,PS3.6
0008,115A,,UI,1-n,SOPClassesSupported,SOP Classes Supported,,N,standard,PS3.6
0008,1160,,IS,1-n,ReferencedFrameNumber,Referenced Frame Number,,N,standard,PS3.6
0008,1161,,UL,1-n,SimpleFrameList,Simple Frame List,,N,standard,PS3.6
0008,1162,,UL,3-3n,CalculatedFrameList,Calculated Frame List,,N,standard,PS3.6
